timestamp,sensorPosition,data_type_name,unit_type,units,value,latitude,longitude,configuration_checksum
2026-06-02T00:05:10.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,12.760000000000002,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:05:10.000Z,2,aanderaa_reading_count_10bits,reading_count,count,5.0,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:05:10.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,3.56,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:05:10.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,0.74,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:05:10.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,5.139,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:05:10.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.775,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:05:10.000Z,3,bm_do_quality_mean_10bits,quality_ratio,unitless,0.914,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:05:10.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.15,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:05:10.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,10.32,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:05:10.000Z,3,bm_do_mg_per_l_mean_17bits,mass_concentration,mg/L,8.685,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:05:10.000Z,3,bm_do_salinity_mean_13bits,mass_ratio,parts per thousand,35.0,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:05:10.000Z,3,bm_do_saturation_pct_mean_18bits,percentage,%,95.4,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:05:10.000Z,3,bm_do_temperature_mean_16bits,temperature,°C,9.835,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:05:10.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.02,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:35:10.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.365,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:35:10.000Z,2,aanderaa_reading_count_10bits,reading_count,count,4.0,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:35:10.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,12.59,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:35:10.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,4.65,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:35:10.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.11,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:35:10.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,4.954,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:35:10.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,0.56,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:35:10.000Z,3,bm_do_saturation_pct_mean_18bits,percentage,%,98.23400000000001,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:35:10.000Z,3,bm_do_mg_per_l_mean_17bits,mass_concentration,mg/L,8.94,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:35:10.000Z,3,bm_do_quality_mean_10bits,quality_ratio,unitless,0.912,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:35:10.000Z,3,bm_do_salinity_mean_13bits,mass_ratio,parts per thousand,35.0,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:35:10.000Z,3,bm_do_temperature_mean_16bits,temperature,°C,9.863000000000001,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:35:10.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,10.27,43.47275,-70.3606167,0x5e54227b
2026-06-02T00:35:10.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.02,43.47275,-70.3606167,0x5e54227b
2026-06-02T01:05:10.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,4.494,43.4727167,-70.36055,0x5e54227b
2026-06-02T01:05:10.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,12.57,43.4727167,-70.36055,0x5e54227b
2026-06-02T01:05:10.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,4.29,43.4727167,-70.36055,0x5e54227b
