timestamp,sensorPosition,data_type_name,unit_type,units,value,latitude,longitude,configuration_checksum
2026-03-06T00:05:11.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,2.66,43.47265,-70.3608833,0x5e54227b
2026-03-06T00:05:11.000Z,2,aanderaa_reading_count_10bits,reading_count,count,4.0,43.47265,-70.3608833,0x5e54227b
2026-03-06T00:05:11.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,32.3,43.47265,-70.3608833,0x5e54227b
2026-03-06T00:05:11.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,2.3000000000000003,43.47265,-70.3608833,0x5e54227b
2026-03-06T00:05:11.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.36,43.47265,-70.3608833,0x5e54227b
2026-03-06T00:05:11.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.06,43.47265,-70.3608833,0x5e54227b
2026-03-06T00:05:11.000Z,3,bm_do_quality_mean_10bits,quality_ratio,unitless,0.918,43.47265,-70.3608833,0x5e54227b
2026-03-06T00:05:11.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,4.744,43.47265,-70.3608833,0x5e54227b
2026-03-06T00:05:11.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,2.5700000000000003,43.47265,-70.3608833,0x5e54227b
2026-03-06T00:05:11.000Z,3,bm_do_mg_per_l_mean_17bits,mass_concentration,mg/L,10.823,43.47265,-70.3608833,0x5e54227b
2026-03-06T00:05:11.000Z,3,bm_do_salinity_mean_13bits,mass_ratio,parts per thousand,35.0,43.47265,-70.3608833,0x5e54227b
2026-03-06T00:05:11.000Z,3,bm_do_saturation_pct_mean_18bits,percentage,%,98.95700000000001,43.47265,-70.3608833,0x5e54227b
2026-03-06T00:05:11.000Z,3,bm_do_temperature_mean_16bits,temperature,°C,2.509,43.47265,-70.3608833,0x5e54227b
2026-03-06T00:05:11.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.06,43.47265,-70.3608833,0x5e54227b
2026-03-06T00:35:11.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.053,43.47265,-70.3608833,0x5e54227b
2026-03-06T00:35:11.000Z,2,aanderaa_reading_count_10bits,reading_count,count,4.0,43.47265,-70.3608833,0x5e54227b
2026-03-06T00:35:11.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,2.6400000000000006,43.47265,-70.3608833,0x5e54227b
2026-03-06T00:35:11.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,26.11,43.47265,-70.3608833,0x5e54227b
2026-03-06T00:35:11.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.32,43.47265,-70.3608833,0x5e54227b
2026-03-06T00:35:11.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,1.53,43.47265,-70.3608833,0x5e54227b
2026-03-06T00:35:11.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,4.98,43.47265,-70.3608833,0x5e54227b
2026-03-06T00:35:11.000Z,3,bm_do_mg_per_l_mean_17bits,mass_concentration,mg/L,10.779,43.47265,-70.3608833,0x5e54227b
