timestamp,sensorPosition,data_type_name,unit_type,units,value,latitude,longitude,configuration_checksum
2026-09-24T00:05:10.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,15.55,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:05:10.000Z,2,aanderaa_reading_count_10bits,reading_count,count,4.0,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:05:10.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,1.01,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:05:10.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,0.8,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:05:10.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,2.04,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:05:10.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.878,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:05:10.000Z,3,bm_do_quality_mean_10bits,quality_ratio,unitless,0.908,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:05:10.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.06,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:05:10.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,15.510000000000002,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:05:10.000Z,3,bm_do_mg_per_l_mean_17bits,mass_concentration,mg/L,7.554,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:05:10.000Z,3,bm_do_salinity_mean_13bits,mass_ratio,parts per thousand,35.0,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:05:10.000Z,3,bm_do_saturation_pct_mean_18bits,percentage,%,91.47,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:05:10.000Z,3,bm_do_temperature_mean_16bits,temperature,°C,15.316,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:05:10.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.03,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:35:10.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.669,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:35:10.000Z,2,aanderaa_reading_count_10bits,reading_count,count,4.0,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:35:10.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,15.54,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:35:10.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,2.0,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:35:10.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,0.37,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:35:10.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,3.8890000000000002,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:35:10.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.08,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:35:10.000Z,3,bm_do_salinity_mean_13bits,mass_ratio,parts per thousand,35.0,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:35:10.000Z,3,bm_do_mg_per_l_mean_17bits,mass_concentration,mg/L,7.75,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:35:10.000Z,3,bm_do_quality_mean_10bits,quality_ratio,unitless,0.908,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:35:10.000Z,3,bm_do_saturation_pct_mean_18bits,percentage,%,93.84700000000001,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:35:10.000Z,3,bm_do_temperature_mean_16bits,temperature,°C,15.324,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:35:10.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,15.469999999999999,43.4728333,-70.3599,0x5e54227b
2026-09-24T00:35:10.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.04,43.4728333,-70.3599,0x5e54227b
2026-09-24T01:05:10.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.116,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:05:10.000Z,2,aanderaa_reading_count_10bits,reading_count,count,4.0,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:05:10.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,15.55,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:05:10.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,3.29,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:05:10.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.07,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:05:10.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,3.345,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:05:10.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,0.79,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:05:10.000Z,3,bm_do_saturation_pct_mean_18bits,percentage,%,95.748,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:05:10.000Z,3,bm_do_mg_per_l_mean_17bits,mass_concentration,mg/L,7.904999999999999,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:05:10.000Z,3,bm_do_quality_mean_10bits,quality_ratio,unitless,0.908,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:05:10.000Z,3,bm_do_salinity_mean_13bits,mass_ratio,parts per thousand,35.0,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:05:10.000Z,3,bm_do_temperature_mean_16bits,temperature,°C,15.333,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:05:10.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,15.510000000000002,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:05:10.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.03,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:35:10.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.33,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:35:10.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,15.54,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:35:10.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,3.88,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:35:10.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,1.6400000000000001,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:35:10.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.06,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:35:10.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,3.865,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:35:10.000Z,2,aanderaa_reading_count_10bits,reading_count,count,5.0,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:35:10.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.03,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:35:10.000Z,3,bm_do_mg_per_l_mean_17bits,mass_concentration,mg/L,8.195,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:35:10.000Z,3,bm_do_quality_mean_10bits,quality_ratio,unitless,0.908,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:35:10.000Z,3,bm_do_salinity_mean_13bits,mass_ratio,parts per thousand,35.0,43.4728167,-70.35985,0x5e54227b
2026-09-24T01:35:10.000Z,3,bm_do_saturation_pct_mean_18bits,percentage,%,99.257,43.4728167,-70.35985,0x5e54227b
