timestamp,sensorPosition,data_type_name,unit_type,units,value,latitude,longitude,configuration_checksum
2026-01-14T00:05:10.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,4.93,43.47275,-70.3605667,0x5e54227b
2026-01-14T00:05:10.000Z,2,aanderaa_reading_count_10bits,reading_count,count,4.0,43.47275,-70.3605667,0x5e54227b
2026-01-14T00:05:10.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,3.25,43.47275,-70.3605667,0x5e54227b
2026-01-14T00:05:10.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,2.13,43.47275,-70.3605667,0x5e54227b
2026-01-14T00:05:10.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,6.002,43.47275,-70.3605667,0x5e54227b
2026-01-14T00:05:10.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.6970000000000001,43.47275,-70.3605667,0x5e54227b
2026-01-14T00:05:10.000Z,3,bm_do_quality_mean_10bits,quality_ratio,unitless,0.922,43.47275,-70.3605667,0x5e54227b
2026-01-14T00:05:10.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.11,43.47275,-70.3605667,0x5e54227b
2026-01-14T00:05:10.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,5.25,43.47275,-70.3605667,0x5e54227b
2026-01-14T00:05:10.000Z,3,bm_do_mg_per_l_mean_17bits,mass_concentration,mg/L,8.903,43.47275,-70.3605667,0x5e54227b
2026-01-14T00:05:10.000Z,3,bm_do_salinity_mean_13bits,mass_ratio,parts per thousand,35.0,43.47275,-70.3605667,0x5e54227b
2026-01-14T00:05:10.000Z,3,bm_do_saturation_pct_mean_18bits,percentage,%,90.127,43.47275,-70.3605667,0x5e54227b
2026-01-14T00:05:10.000Z,3,bm_do_temperature_mean_16bits,temperature,°C,5.728000000000001,43.47275,-70.3605667,0x5e54227b
2026-01-14T00:05:10.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.02,43.47275,-70.3605667,0x5e54227b
2026-01-14T00:35:10.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.654,43.4727667,-70.3605167,0x5e54227b
2026-01-14T00:35:10.000Z,2,aanderaa_reading_count_10bits,reading_count,count,4.0,43.4727667,-70.3605167,0x5e54227b
2026-01-14T00:35:10.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,4.960000000000001,43.4727667,-70.3605167,0x5e54227b
