timestamp,sensorPosition,data_type_name,unit_type,units,value,latitude,longitude,configuration_checksum
2025-11-06T00:05:10.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,10.75,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:05:10.000Z,2,aanderaa_reading_count_10bits,reading_count,count,5.0,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:05:10.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,11.98,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:05:10.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,2.58,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:05:10.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,4.7010000000000005,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:05:10.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.13,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:05:10.000Z,3,bm_do_quality_mean_10bits,quality_ratio,unitless,0.932,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:05:10.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.1,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:05:10.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,10.8,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:05:10.000Z,3,bm_do_mg_per_l_mean_17bits,mass_concentration,mg/L,6.8020000000000005,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:05:10.000Z,3,bm_do_salinity_mean_13bits,mass_ratio,parts per thousand,35.0,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:05:10.000Z,3,bm_do_saturation_pct_mean_18bits,percentage,%,77.78,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:05:10.000Z,3,bm_do_temperature_mean_16bits,temperature,°C,10.854000000000001,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:05:10.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.02,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:35:10.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.124,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:35:10.000Z,2,aanderaa_reading_count_10bits,reading_count,count,4.0,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:35:10.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,10.790000000000001,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:35:10.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,13.530000000000001,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:35:10.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.07,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:35:10.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,4.522,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:35:10.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,1.62,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:35:10.000Z,3,bm_do_saturation_pct_mean_18bits,percentage,%,78.791,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:35:10.000Z,3,bm_do_mg_per_l_mean_17bits,mass_concentration,mg/L,6.884,43.4727167,-70.3606,0x5e54227b
2025-11-06T00:35:10.000Z,3,bm_do_quality_mean_10bits,quality_ratio,unitless,0.932,43.4727167,-70.3606,0x5e54227b
