Epoch Time,Processing Source,Latitude (deg),Longitude (deg),Significant Wave Height (m),Peak Period (s),Mean Period (s),Peak Direction (deg),Peak Directional Spread (deg),Mean Direction (deg),Mean Directional Spread (deg),Wind Speed (m/s),Wind Direction (deg),Partition0 Start Frequency (hz),Partition0 End Frequency (hz),Partition0 Significant Wave Height (m),Partition0 Mean Period (s),Partition0 Mean Direction (deg),Partition0 Mean Directional Spread (deg),Partition1 Start Frequency (hz),Partition1 End Frequency (hz),Partition1 Significant Wave Height (m),Partition1 Mean Period (s),Partition1 Mean Direction (deg),Partition1 Mean Directional Spread (deg)
1790121600,hdr,43.472838,-70.3598088,0.543,5.12,4.73,98.643,18.706,89.663,34.418,2.3,96,0.029296875,0.126953125,0.133,9.389,97.666,41.994,0.126953125,0.80078125,0.526,4.585,88.703,34.772
1790121900,embedded,43.4728333,-70.3598,0.55,7.32,4.78,86.415,31.976,90.0,36.712,1.6,85,,,,,,,,,,,,
1790122500,hdr,43.4728297,-70.3597643,0.525,7.314,4.743,92.389,32.423,91.306,34.41,1.95,108,0.029296875,0.126953125,0.115,9.918,95.991,52.423,0.126953125,0.80078125,0.512,4.621,91.059,33.627
1790123400,hdr,43.4728313,-70.3597443,0.572,6.827,4.884,86.376,31.011,92.884,32.302,1.75,108,0.029296875,0.126953125,0.152,10.007,88.625,48.933,0.126953125,0.80078125,0.551,4.702,92.761,31.524
1790123700,embedded,43.4728333,-70.3597167,0.56,6.82,4.86,90.0,31.945,92.277,35.135,1.6,97,,,,,,,,,,,,
1790124300,hdr,43.4728305,-70.3597175,0.557,6.4,4.823,95.881,30.525,93.375,32.284,1.82,101,0.029296875,0.126953125,0.142,9.777,88.869,53.436,0.126953125,0.80078125,0.539,4.66,93.506,31.444
1790125500,embedded,43.4728167,-70.3596833,0.57,6.4,4.78,92.509,29.122,93.483,34.313,2.0,97,,,,,,,,,,,,
1790126100,hdr,43.4728252,-70.3596755,0.574,6.4,4.989,90.111,25.015,93.488,30.781,1.81,97,0.029296875,0.126953125,0.129,9.656,85.465,53.109,0.126953125,0.80078125,0.56,4.864,93.864,29.698
1790127000,hdr,43.4728295,-70.3596537,0.577,6.4,5.061,90.908,32.079,88.432,35.228,1.89,90,0.029296875,0.126953125,0.186,9.504,80.737,46.141,0.126953125,0.80078125,0.546,4.801,88.856,35.179
1790127300,embedded,43.4728167,-70.35965,0.58,6.4,4.98,90.646,29.538,90.633,36.533,2.0,97,,,,,,,,,,,,
1790127900,hdr,43.4728285,-70.3596497,0.535,6.827,4.901,84.429,35.136,88.291,40.867,1.75,87,0.029296875,0.126953125,0.167,10.324,81.927,62.092,0.126953125,0.80078125,0.508,4.639,88.584,39.532
1790128800,hdr,43.4728317,-70.3596377,0.566,7.314,5.09,92.757,40.946,87.86,41.062,1.77,84,0.029296875,0.126953125,0.211,9.958,82.679,51.402,0.126953125,0.80078125,0.525,4.719,88.617,40.989
1790129100,embedded,43.4728167,-70.3596167,0.56,7.32,5.06,83.418,36.856,87.761,44.349,1.6,85,,,,,,,,,,,,
1790129700,hdr,43.4728328,-70.3596388,0.549,7.314,5.177,74.771,28.157,84.708,38.584,1.59,98,0.029296875,0.126953125,0.171,9.87,73.593,54.209,0.126953125,0.80078125,0.522,4.925,85.648,38.203
1790130600,hdr,43.4728138,-70.3596475,0.521,7.877,4.947,85.748,33.136,85.647,41.164,1.86,95,0.029296875,0.126953125,0.177,10.136,81.854,54.013,0.126953125,0.80078125,0.49,4.639,86.744,40.801
1790130900,embedded,43.4728167,-70.3596167,0.52,7.32,5.12,80.731,30.775,84.905,43.224,1.2,97,,,,,,,,,,,,
1790131500,hdr,43.4728155,-70.3596432,0.501,7.314,5.228,81.331,32.403,80.725,45.246,1.43,104,0.029296875,0.126953125,0.185,10.632,69.213,63.233,0.126953125,0.80078125,0.465,4.839,82.77,43.255
1790132400,hdr,43.4728108,-70.359632,0.525,7.314,5.114,77.388,32.986,81.132,42.762,1.7,88,0.029296875,0.126953125,0.194,10.754,79.599,60.392,0.126953125,0.80078125,0.488,4.72,81.769,41.277
1790132700,embedded,43.4728,-70.3596333,0.53,7.88,5.16,77.211,34.668,83.019,46.152,1.6,91,,,,,,,,,,,,
1790133300,hdr,43.4727972,-70.3596485,0.502,6.4,5.074,89.258,34.384,84.892,41.506,1.51,96,0.029296875,0.126953125,0.191,10.36,80.222,57.418,0.126953125,0.80078125,0.465,4.672,85.726,40.023
1790134200,hdr,43.4728138,-70.3596327,0.5,7.877,5.357,77.221,31.072,83.058,41.529,1.33,97,0.029296875,0.126953125,0.197,10.393,66.664,55.525,0.126953125,0.80078125,0.46,4.921,86.076,39.749
1790134500,embedded,43.4728,-70.3596333,0.5,7.88,5.18,77.835,32.916,84.665,45.599,1.6,91,,,,,,,,,,,,
1790135100,hdr,43.4728085,-70.3596423,0.444,6.827,4.989,72.659,40.222,84.135,46.818,1.24,94,0.029296875,0.126953125,0.172,10.982,96.229,60.506,0.126953125,0.80078125,0.409,4.552,84.07,45.219
1790136000,hdr,43.4728078,-70.359631,0.464,6.4,4.981,87.647,33.844,85.614,41.829,1.6,103,0.029296875,0.126953125,0.171,10.746,81.711,55.089,0.126953125,0.80078125,0.431,4.592,86.541,40.475
1790136300,embedded,43.4728,-70.3596333,0.45,6.82,5.02,79.728,38.614,84.289,47.372,1.2,91,,,,,,,,,,,,
1790136900,hdr,43.4727958,-70.359643,0.469,6.827,5.231,77.876,26.551,80.403,39.747,1.05,90,0.029296875,0.126953125,0.169,10.694,84.941,57.602,0.126953125,0.80078125,0.438,4.862,80.513,38.083
1790137800,hdr,43.4727942,-70.3596508,0.455,7.877,4.927,69.403,36.233,81.45,39.383,1.31,86,0.029296875,0.126953125,0.168,10.383,76.716,55.092,0.126953125,0.80078125,0.423,4.548,82.374,38.255
1790138100,embedded,43.4728,-70.3596333,0.45,7.32,5.0,77.867,33.617,81.437,44.681,0.8,85,,,,,,,,,,,,
1790138700,hdr,43.4727975,-70.359632,0.449,7.314,4.978,68.539,34.654,78.006,41.145,1.02,102,0.029296875,0.126953125,0.164,11.744,70.681,59.327,0.126953125,0.80078125,0.418,4.574,78.975,38.533
1790139600,hdr,43.4727915,-70.359634,0.44,7.314,4.861,74.158,35.463,78.206,42.722,1.25,103,0.029296875,0.126953125,0.157,11.687,91.489,60.553,0.126953125,0.80078125,0.411,4.479,77.616,40.471
1790139900,embedded,43.4727833,-70.3596333,0.44,7.32,4.92,77.25,34.009,79.982,47.032,1.2,91,,,,,,,,,,,,
1790140500,hdr,43.4728005,-70.3596365,0.414,7.877,4.782,82.687,40.125,85.124,42.606,1.15,98,0.029296875,0.126953125,0.181,11.467,84.303,60.079,0.126953125,0.80078125,0.372,4.203,85.375,39.452
1790141400,hdr,43.4728105,-70.3596193,0.424,7.877,4.729,76.3,34.581,80.93,40.85,1.3,92,0.029296875,0.126953125,0.158,10.868,73.464,56.947,0.126953125,0.80078125,0.394,4.335,81.604,39.314
1790141700,embedded,43.4727833,-70.3596333,0.41,7.88,4.78,80.109,38.523,81.495,47.641,1.2,97,,,,,,,,,,,,
1790142300,hdr,43.4727932,-70.359637,0.405,7.314,4.663,65.878,32.618,77.283,42.932,1.02,104,0.029296875,0.126953125,0.138,11.216,71.48,63.634,0.126953125,0.80078125,0.381,4.33,77.174,40.692
1790143200,hdr,43.472786,-70.3596357,0.411,7.877,4.57,65.873,41.243,76.88,43.483,1.24,84,0.029296875,0.126953125,0.134,11.782,63.431,68.34,0.126953125,0.80078125,0.388,4.258,76.994,40.276
1790143500,embedded,43.4727667,-70.35965,0.42,7.88,4.62,74.274,38.707,77.354,46.248,1.2,91,,,,,,,,,,,,
1790144100,hdr,43.4727867,-70.3596403,0.407,7.877,4.489,82.68,35.717,82.605,42.612,1.88,86,0.029296875,0.126953125,0.146,10.79,73.974,62.357,0.126953125,0.80078125,0.38,4.131,83.817,39.637
1790145000,hdr,43.4727632,-70.3596792,0.395,7.877,4.249,84.544,43.078,82.601,47.134,1.35,86,0.029296875,0.126953125,0.157,11.12,67.656,62.216,0.126953125,0.80078125,0.363,3.81,83.829,45.253
1790145300,embedded,43.4727667,-70.3596667,0.4,7.88,4.34,85.137,36.631,81.657,49.068,1.6,85,,,,,,,,,,,,
1790145900,hdr,43.4727693,-70.3596788,0.414,7.877,4.253,78.681,34.913,82.403,44.69,2.17,59,0.029296875,0.126953125,0.147,10.593,62.475,61.855,0.126953125,0.80078125,0.387,3.916,83.579,42.598
1790146800,hdr,43.4727603,-70.3597177,0.428,7.877,4.049,75.329,35.309,80.729,45.115,4.72,52,0.029296875,0.126953125,0.154,10.737,66.503,56.536,0.126953125,0.80078125,0.399,3.707,81.727,43.667
1790147100,embedded,43.47275,-70.3597167,0.41,7.32,3.94,81.736,38.987,80.003,51.086,3.2,57,,,,,,,,,,,,
1790147700,hdr,43.4727565,-70.3597238,0.412,7.877,3.804,88.608,45.988,79.168,49.129,4.18,56,0.029296875,0.126953125,0.156,11.123,60.379,59.341,0.126953125,0.80078125,0.381,3.428,80.168,48.408
1790148600,hdr,43.4727632,-70.359776,0.46,7.877,4.433,66.167,31.137,77.079,45.042,4.13,79,0.029296875,0.126953125,0.164,10.634,69.881,58.946,0.126953125,0.80078125,0.429,4.087,76.903,44.227
1790148900,embedded,43.47275,-70.3597333,0.43,7.88,4.1,75.581,37.901,78.671,52.685,4.4,68,,,,,,,,,,,,
1790149500,hdr,43.4727675,-70.359752,0.426,7.314,4.028,80.236,42.046,88.543,47.46,3.79,43,0.029296875,0.126953125,0.137,10.762,69.431,63.687,0.126953125,0.80078125,0.403,3.758,88.266,46.622
1790150400,hdr,43.4727737,-70.359784,0.423,6.827,3.962,70.964,34.282,86.709,47.596,3.25,66,0.029296875,0.126953125,0.142,11.55,82.224,66.336,0.126953125,0.80078125,0.399,3.659,85.027,46.208
1790150700,embedded,43.4727667,-70.35975,0.42,7.32,3.94,69.533,41.912,84.183,52.591,3.2,57,,,,,,,,,,,,
1790151300,hdr,43.472769,-70.3597862,0.428,7.314,3.973,87.451,39.833,87.7,48.059,2.99,102,0.029296875,0.126953125,0.143,12.021,79.816,65.36,0.126953125,0.80078125,0.403,3.666,86.602,46.218
1790152200,hdr,43.4727873,-70.3598253,0.439,6.827,3.82,72.995,44.434,84.088,49.6,3.98,71,0.029296875,0.126953125,0.124,10.199,66.009,61.383,0.126953125,0.80078125,0.421,3.623,84.373,48.897
1790152500,embedded,43.4727667,-70.3597833,0.45,7.32,3.9,82.286,41.094,84.537,52.183,3.6,74,,,,,,,,,,,,
1790153100,hdr,43.4727807,-70.3598052,0.474,7.314,4.037,87.563,35.326,87.262,46.527,3.33,84,0.029296875,0.126953125,0.133,11.648,74.351,63.207,0.126953125,0.80078125,0.455,3.825,87.05,44.982
1790154000,hdr,43.4728037,-70.3598465,0.468,7.314,3.956,70.459,31.265,82.778,47.517,4.56,60,0.029296875,0.126953125,0.139,10.391,81.507,54.136,0.126953125,0.80078125,0.447,3.733,81.428,46.874
1790154300,embedded,43.4728,-70.3598333,0.48,7.32,4.04,75.997,33.592,82.032,48.976,3.6,68,,,,,,,,,,,,
1790154900,hdr,43.472783,-70.3598163,0.506,7.314,4.046,76.833,34.987,79.277,45.953,4.88,68,0.029296875,0.126953125,0.128,11.161,83.504,64.655,0.126953125,0.80078125,0.489,3.876,77.683,44.954
1790155800,hdr,43.4727933,-70.3598175,0.466,7.314,3.766,81.05,41.226,84.445,49.859,4.37,64,0.029296875,0.126953125,0.118,10.328,74.945,62.613,0.126953125,0.80078125,0.451,3.61,84.656,49.179
1790156100,embedded,43.4728,-70.3598333,0.48,7.32,3.84,79.123,41.665,81.843,51.284,4.0,68,,,,,,,,,,,,
1790156700,hdr,43.472783,-70.35982,0.471,6.827,3.815,70.41,36.987,84.214,48.494,4.35,50,0.029296875,0.126953125,0.129,10.896,80.549,64.377,0.126953125,0.80078125,0.453,3.625,83.416,47.343
1790157600,hdr,43.47278,-70.359798,0.483,6.827,3.728,76.446,48.451,85.623,48.359,5.2,57,0.029296875,0.126953125,0.148,9.76,68.238,53.864,0.126953125,0.80078125,0.46,3.505,86.811,48.832
1790157900,embedded,43.4727833,-70.3597833,0.47,6.82,3.74,72.845,43.943,82.399,51.336,4.4,62,,,,,,,,,,,,
1790158500,hdr,43.4727888,-70.3598272,0.535,6.827,4.045,69.611,44.965,83.969,46.585,4.4,60,0.029296875,0.126953125,0.14,10.231,84.069,60.919,0.126953125,0.80078125,0.517,3.872,83.254,46.344
1790159400,hdr,43.4727728,-70.3598057,0.567,6.827,4.069,84.739,41.686,85.638,46.488,4.54,40,0.029296875,0.126953125,0.174,10.295,71.767,57.927,0.126953125,0.80078125,0.539,3.829,86.49,46.444
1790159700,embedded,43.4727667,-70.3597833,0.56,6.82,4.12,78.753,44.627,83.019,49.465,4.4,62,,,,,,,,,,,,
1790160300,hdr,43.4727733,-70.3598253,0.567,6.827,4.038,87.019,39.503,88.159,45.914,5.39,67,0.029296875,0.126953125,0.148,11.44,76.103,65.127,0.126953125,0.80078125,0.547,3.856,88.661,44.867
1790161200,hdr,43.4727852,-70.3598403,0.618,7.314,4.332,68.467,41.494,80.942,46.876,5.05,56,0.029296875,0.126953125,0.152,11.219,66.903,64.23,0.126953125,0.80078125,0.599,4.169,80.736,46.373
1790161500,embedded,43.4727667,-70.3598167,0.61,7.32,4.22,79.205,44.043,84.029,49.938,5.2,57,,,,,,,,,,,,
1790162100,hdr,43.4727712,-70.3598323,0.614,6.827,4.146,75.68,40.923,84.035,45.612,6.36,62,0.029296875,0.126953125,0.177,10.763,78.45,62.104,0.126953125,0.80078125,0.587,3.926,84.174,44.616
1790163000,hdr,43.4727763,-70.3598433,0.678,6.827,4.658,78.555,38.192,81.446,41.159,4.7,69,0.029296875,0.126953125,0.176,10.338,68.497,59.168,0.126953125,0.80078125,0.654,4.479,81.908,39.973
1790163300,embedded,43.4727667,-70.3598333,0.66,6.82,4.46,74.874,39.657,80.782,46.025,4.4,62,,,,,,,,,,,,
1790163900,hdr,43.4727913,-70.3598418,0.729,6.4,4.53,70.286,32.388,80.283,39.962,6.03,54,0.029296875,0.126953125,0.197,9.685,78.708,61.707,0.126953125,0.80078125,0.702,4.348,79.674,39.174
1790164800,hdr,43.4727773,-70.3598288,0.74,6.4,4.544,78.326,27.753,85.709,40.042,5.42,50,0.029296875,0.126953125,0.178,9.826,89.748,57.336,0.126953125,0.80078125,0.718,4.398,85.568,39.756
1790165100,embedded,43.4727833,-70.3598333,0.76,6.82,4.64,86.494,36.314,85.354,43.483,4.8,51,,,,,,,,,,,,
1790165700,hdr,43.4727895,-70.3598437,0.697,6.4,4.452,79.529,31.3,86.228,42.854,5.84,53,0.029296875,0.126953125,0.208,9.975,91.656,56.018,0.126953125,0.80078125,0.665,4.224,85.666,42.36
1790166600,hdr,43.4727968,-70.3598423,0.738,6.4,4.623,85.92,31.376,89.182,41.812,5.96,53,0.029296875,0.126953125,0.19,9.835,82.501,61.402,0.126953125,0.80078125,0.713,4.455,89.436,41.078
1790166900,embedded,43.4727833,-70.3598333,0.72,6.4,4.54,85.939,36.179,89.263,45.526,5.6,57,,,,,,,,,,,,
1790167500,hdr,43.4727938,-70.3598283,0.725,6.4,4.391,83.216,39.567,90.9,42.502,5.61,60,0.029296875,0.126953125,0.179,10.15,84.402,61.387,0.126953125,0.80078125,0.703,4.235,90.913,41.722
1790168400,hdr,43.4727748,-70.3598132,0.769,6.827,4.614,86.277,37.341,89.84,40.495,4.65,76,0.029296875,0.126953125,0.222,9.502,86.219,59.782,0.126953125,0.80078125,0.736,4.408,89.807,39.946
1790168700,embedded,43.4727667,-70.3598167,0.75,6.82,4.48,84.754,37.972,89.115,44.67,4.8,62,,,,,,,,,,,,
1790169300,hdr,43.4727812,-70.3598287,0.768,6.827,4.568,94.125,35.402,95.323,41.377,5.11,90,0.029296875,0.126953125,0.198,10.289,81.614,63.877,0.126953125,0.80078125,0.742,4.394,95.785,39.926
1790170200,hdr,43.472786,-70.3598243,0.809,6.4,4.636,95.492,30.516,96.3,39.968,5.2,71,0.029296875,0.126953125,0.217,9.762,79.675,63.217,0.126953125,0.80078125,0.779,4.455,97.09,38.848
1790170500,embedded,43.4727667,-70.3598167,0.78,6.82,4.6,96.27,37.334,95.864,45.199,4.8,57,,,,,,,,,,,,
1790171100,hdr,43.4727753,-70.359818,0.832,6.4,4.673,97.504,33.991,95.036,39.475,5.03,53,0.029296875,0.126953125,0.236,10.202,87.679,58.932,0.126953125,0.80078125,0.798,4.462,95.213,39.023
1790172000,hdr,43.4727773,-70.3598222,0.82,6.4,4.559,103.169,34.664,94.692,40.666,5.64,88,0.029296875,0.126953125,0.244,9.854,99.953,54.834,0.126953125,0.80078125,0.782,4.333,94.048,40.225
1790172300,embedded,43.4727833,-70.3598333,0.82,6.4,4.56,98.71,34.395,94.691,43.995,5.6,68,,,,,,,,,,,,
1790172900,hdr,43.472772,-70.3598103,0.762,7.314,4.205,87.088,42.619,92.666,43.317,6.31,65,0.029296875,0.126953125,0.187,9.931,85.939,58.587,0.126953125,0.80078125,0.738,4.054,92.637,43.491
1790173800,hdr,43.4727907,-70.3598387,0.828,6.827,4.52,94.892,28.071,93.047,37.963,4.47,70,0.029296875,0.126953125,0.199,9.984,77.854,63.89,0.126953125,0.80078125,0.803,4.373,93.417,37.106
1790174100,embedded,43.4727833,-70.3598333,0.81,6.82,4.42,91.706,37.288,92.074,44.209,5.6,74,,,,,,,,,,,,
1790174700,hdr,43.4727948,-70.3598272,0.819,6.4,4.301,93.086,34.574,94.779,41.308,8.0,68,0.029296875,0.126953125,0.201,10.087,89.123,65.476,0.126953125,0.80078125,0.793,4.148,94.753,40.5
1790175600,hdr,43.4727997,-70.3598328,0.865,6.023,4.478,84.205,30.708,90.238,40.91,6.59,83,0.029296875,0.126953125,0.224,10.076,91.066,64.68,0.126953125,0.80078125,0.836,4.306,89.953,39.88
1790175900,embedded,43.4727833,-70.3598167,0.85,6.4,4.4,90.203,33.513,91.699,44.941,6.0,74,,,,,,,,,,,,
1790176500,hdr,43.4727927,-70.3597527,0.826,6.4,4.528,86.792,29.695,88.363,40.966,5.24,91,0.029296875,0.126953125,0.229,11.043,88.012,62.197,0.126953125,0.80078125,0.794,4.316,88.286,39.61
1790177400,hdr,43.4727902,-70.3597932,0.848,6.023,4.437,96.832,27.154,94.059,38.96,6.05,92,0.029296875,0.126953125,0.213,10.306,78.844,60.292,0.126953125,0.80078125,0.821,4.273,94.722,37.811
1790177700,embedded,43.4727833,-70.3598167,0.86,6.4,4.54,89.552,28.547,91.961,43.333,5.2,74,,,,,,,,,,,,
1790178300,hdr,43.4727815,-70.3598045,0.875,6.023,4.561,86.897,28.622,90.625,37.771,6.83,70,0.029296875,0.126953125,0.216,9.966,73.967,58.596,0.126953125,0.80078125,0.848,4.406,90.845,37.227
1790179200,hdr,43.472803,-70.3598285,0.839,5.689,4.346,86.255,30.444,88.928,38.832,6.54,72,0.029296875,0.126953125,0.213,9.531,84.122,55.522,0.126953125,0.80078125,0.812,4.189,88.609,38.565
