Epoch Time,Processing Source,f,varianceDensity
1788480000,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.0022886399999999998;0.005158912;0.008231936;0.010369024;0.007696384;0.001782784;0.002968576;0.013205504;0.025729023999999996;0.045609984;0.055816192;0.10062336;0.148134912;0.192971776;0.32379187200000004;0.27668992;0.14867148800000002;0.137490432;0.128678912;0.078613504;0.081155072;0.074908672;0.057785344;0.043244543999999996;0.0443136;0.038507519999999996;0.026441728;0.024285184;0.018006016;0.020302848000000002;0.0217088;0.018270208;0.009971711999999999;0.011744256;0.010335232;0.008213504000000002;0.010505216;0.008109056;0.0055132160000000005;0.007379968;0.007483392;0.006439936;0.004475903999999999;0.004783103999999999;0.004272128000000001;0.00516608;0.005302272;0.003765248;0.003913728;0.00271872;0.00180224;0.002146304;0.0024309759999999996;0.001289216;0.001681408;0.00193536;0.001937408;0.002865152;0.0021504000000000002;0.001425408;0.001229824;0.0013701120000000002;0.001604608;0.002069504;0.002477056;0.001961984;0.001678336;0.001412096;0.000712704;0.000653312;0.000899072;0.000995328;0.001189888;0.001164288;0.00115712;0.0013199359999999999;0.0013680639999999998;0.001308672;0.0011007999999999999
1788480900,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.003329024;0.00359936;0.004255744;0.005181440000000001;0.0077987840000000004;0.004303872;0.007796736;0.019153919999999998;0.031637504000000004;0.035180543999999994;0.029590527999999998;0.04619878400000001;0.132922368;0.21571072;0.20691865599999998;0.130245632;0.17874124800000002;0.24349184;0.148404224;0.086396928;0.061008896;0.054521856;0.04826112;0.050370559999999995;0.047234048;0.039824384000000004;0.034402304;0.031509504;0.02382848;0.019779584;0.024162304;0.027442176;0.015167488000000002;0.008324096000000001;0.013118464;0.01055232;0.006672384;0.009261056;0.006638592;0.007943168;0.004922368;0.005814272;0.00689152;0.0042485760000000004;0.003748864;0.003885056;0.0038144;0.0029798399999999997;0.00222208;0.002184192;0.002737152;0.004184064;0.0034109440000000004;0.002110464;0.001743872;0.001317888;0.0017848319999999999;0.0018237440000000002;0.0017889280000000002;0.0019517439999999998;0.002004992;0.0019435519999999999;0.000900096;0.001809408;0.002203648;0.001527808;0.001557504;0.0010803199999999998;0.0012113920000000002;0.00131072;0.000871424;0.0009912319999999999;0.00118784;0.001385472;0.001006592;0.000760832;0.000646144;0.00080384;0.000731136
1788481800,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.004071424000000001;0.007778304;0.010251264000000001;0.014194688;0.008396800000000001;0.0047104;0.0031784960000000003;0.01872384;0.048292864000000005;0.020542464;0.02928128;0.06340095999999999;0.088500224;0.181110784;0.278752256;0.27869388800000006;0.200845312;0.165726208;0.154573824;0.12596838400000002;0.128590848;0.054586368;0.029505536;0.022918144;0.030707711999999998;0.023462912;0.023739392;0.020149247999999998;0.017895424;0.021629952;0.018653184;0.012402688;0.010221567999999999;0.006979584;0.008253439999999999;0.011250688;0.01106944;0.007723008;0.005131264;0.00525312;0.005860352;0.005775359999999999;0.004716544;0.002919424;0.002976768;0.00367104;0.003654656;0.0030535679999999996;0.002014208;0.003912704;0.00369152;0.003049472;0.002108416;0.0018800639999999999;0.001108992;0.0017489920000000002;0.002071552;0.0020398079999999997;0.001404928;0.000826368;0.000605184;0.0009584639999999999;0.00104448;0.001103872;0.001531904;0.0018421759999999998;0.0012462080000000002;0.0014592000000000001;0.001127424;0.001649664;0.001107968;0.0009349119999999999;0.000945152;0.0009205759999999999;0.0006144;0.000528384;0.000659456;0.0005713920000000001;0.000432128
1788482700,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.0011243520000000001;0.007118848;0.005783552000000001;0.003369984;0.00442368;0.0018636800000000002;0.003183616;0.011260928;0.024906752;0.029022207999999997;0.024870912000000002;0.067934208;0.171308032;0.187579392;0.15879168000000002;0.178167808;0.130871296;0.07565926399999999;0.056782848;0.055238656;0.060883968000000004;0.05236019199999999;0.042252288;0.046690303999999995;0.04160716800000001;0.025263103999999998;0.023640064;0.02288128;0.02118656;0.020614144;0.008027136;0.006707200000000001;0.009544704;0.009450496;0.007768064000000001;0.005925888;0.005533696;0.006878207999999999;0.0055951360000000006;0.00576512;0.00605696;0.005200896000000001;0.003555328;0.00352256;0.003504128;0.003323904;0.0036720640000000005;0.0017244159999999999;0.003264512;0.004832256;0.004366336;0.0024299520000000004;0.001586176;0.0019087359999999999;0.001794048;0.001774592;0.0017203200000000002;0.0014929920000000003;0.0014499839999999999;0.001297408;0.0013547519999999999;0.0007884799999999999;0.0012400640000000001;0.001422336;0.00087552;0.000937984;0.001133568;0.000966656;0.000796672;0.001234944;0.00136192;0.0011776;0.0006656;0.0006502400000000001;0.000748544;0.00070656;0.000605184;0.000447488;0.00031232
1788484500,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.000802816;0.001890304;0.002295808;0.003897344;0.003311616;0.0011233280000000003;0.0006912;0.008411136;0.022852608;0.034541568;0.05896499200000001;0.032669696000000005;0.09600204799999999;0.145754112;0.150739968;0.125913088;0.08924364799999998;0.09727897599999999;0.07215001599999998;0.070600704;0.048970752;0.043718656;0.056260608000000004;0.033724416;0.023269376;0.029223936;0.0225536;0.014724095999999999;0.021651456;0.012536832;0.015578112000000002;0.013441024000000001;0.011128831999999998;0.008824832;0.007184384;0.009020416000000002;0.009322496;0.007081984;0.005154816;0.0037304319999999997;0.00404992;0.004089856;0.0027975680000000003;0.003401728;0.00471552;0.003821568;0.002587648;0.0022097920000000004;0.002169856;0.001837056;0.002315264;0.0018176000000000002;0.00117248;0.001098752;0.001161216;0.000909312;0.001292288;0.001790976;0.001381376;0.0011233280000000003;0.001189888;0.0011786239999999999;0.00123392;0.000872448;0.0007884799999999999;0.000881664;0.0009768959999999999;0.00087552;0.0008929280000000001;0.000854016;0.000497664;0.0006144;0.000401408;0.00039628799999999996;0.0004986880000000001;0.000365568;0.00031744;0.000526336;0.000401408
1788485400,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.002505728;0.0040294400000000005;0.0044974080000000005;0.003298304;0.005520384;0.001856512;0.001675264;0.014070784;0.025306112;0.025721856;0.041238528;0.04432896;0.09183744;0.17181593599999997;0.14324326400000004;0.11623526399999999;0.121358336;0.10222387200000001;0.097727488;0.064753664;0.029917183999999996;0.022023168;0.048135168;0.035040256;0.025105408;0.022421504;0.018018304;0.018715648;0.019994624000000003;0.022457343999999997;0.013480959999999998;0.013887488;0.012560384;0.011267072;0.00812032;0.005646336;0.004744192;0.004527104;0.004775936;0.004448255999999999;0.002638848;0.0024494079999999997;0.003323904;0.002870272;0.004099072;0.00335872;0.0027514880000000003;0.001956864;0.002000896;0.0024872960000000004;0.0019937279999999997;0.00169984;0.0015738879999999998;0.0016291839999999999;0.00136192;0.0016128;0.000766976;0.001050624;0.000736256;0.001380352;0.0011786239999999999;0.0009594880000000001;0.000887808;0.0007884799999999999;0.0009144320000000001;0.000827392;0.000813056;0.000490496;0.00042496;0.000592896;0.0006574080000000001;0.000698368;0.000668672;0.000715776;0.0007116799999999999;0.000715776;0.000492544;0.0004352;0.000339968
1788486300,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.0017377279999999998;0.002444288;0.00261632;0.00599552;0.009092096;0.003928064;0.0007372800000000001;0.006371328000000001;0.021033984000000002;0.024464384;0.043222016;0.0444672;0.08214937600000001;0.146792448;0.17141247999999998;0.099903488;0.128606208;0.10631987200000001;0.082511872;0.065552384;0.031314944;0.027552768;0.037014528;0.033112064;0.025639936;0.018276352;0.02343424;0.0201472;0.020124672;0.01114624;0.009271296;0.01206784;0.01100288;0.008927232;0.008154112;0.006404096000000001;0.003048448;0.0032440319999999996;0.005184512;0.00479232;0.004250624;0.00391168;0.003877888;0.003452928;0.004071424000000001;0.004742143999999999;0.003728384;0.00298496;0.002440192;0.0025047039999999995;0.0020736;0.002139136;0.001558528;0.001906688;0.002272256;0.001824768;0.00234496;0.00207872;0.001251328;0.0007772160000000001;0.000984064;0.000847872;0.0008704;0.0008622079999999999;0.000966656;0.0007423999999999999;0.000668672;0.00067072;0.000616448;0.0008222720000000001;0.0005632;0.000531456;0.000493568;0.000418816;0.000375808;0.00037785600000000004;0.000461824;0.00036249599999999997;0.000451584
1788487200,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.001263616;0.001744896;0.0019128320000000002;0.0055480320000000005;0.006158336;0.000607232;0.0005232639999999998;0.002506752;0.014061568;0.029150208;0.045171712;0.06809088;0.10556416;0.121141248;0.109430784;0.10696396799999999;0.08070656;0.064498688;0.06758604800000001;0.061453311999999996;0.04176384;0.040496128;0.031331328;0.027179007999999998;0.020015104;0.013962239999999999;0.018071552;0.020044799999999998;0.014401536;0.021225472000000002;0.013658112;0.011070464;0.0070543360000000005;0.006016;0.00605696;0.006801408;0.006983679999999999;0.00530944;0.004092928;0.003007488;0.002528256;0.002880512;0.003551232;0.00361472;0.003216384;0.002562048;0.002004992;0.002704384;0.002110464;0.002279424;0.002108416;0.001584128;0.000907264;0.0008110079999999999;0.001289216;0.0017663999999999998;0.001460224;0.0009615359999999999;0.00125952;0.0013946879999999998;0.001683456;0.000979968;0.00083968;0.0007188480000000001;0.000494592;0.000526336;0.0005703679999999999;0.0005724160000000001;0.000489472;0.0006604799999999999;0.0006082559999999999;0.0005734399999999999;0.0005744639999999999;0.0005724160000000001;0.000621568;0.00057856;0.00046489599999999996;0.000371712;0.000449536
1788488100,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.000510976;0.000980992;0.00185344;0.003026944;0.0037468159999999996;0.0033802240000000002;0.003603456;0.005150719999999999;0.017456128;0.026756095999999997;0.02925568;0.043693055999999994;0.103984128;0.149028864;0.16848896;0.152948736;0.120493056;0.07620608;0.045003776;0.038785023999999994;0.033860608;0.041624576;0.026082304;0.018656255999999996;0.033652735999999996;0.033328128;0.032566272;0.019836928;0.015348736;0.020575232;0.01871872;0.015760384;0.017421312;0.015268864000000002;0.010085376;0.005842944;0.0045076479999999995;0.005311488;0.00676864;0.005069824;0.005046272;0.004927488000000001;0.003854336;0.00373248;0.002741248;0.003063808;0.002440192;0.002143232;0.001796096;0.001468416;0.0017336320000000001;0.001878016;0.002219008;0.0020224;0.001651712;0.00103424;0.0013393919999999998;0.0013424640000000002;0.001082368;0.001348608;0.0012195840000000001;0.00133632;0.0012400640000000001;0.000531456;0.000444416;0.0006840319999999999;0.000651264;0.00087552;0.0007106559999999999;0.0006041600000000001;0.0006789119999999999;0.0006891520000000001;0.0006737919999999999;0.000502784;0.00030924800000000003;0.00023552000000000002;0.000288768;0.00037376;0.00039731200000000003
1788489000,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.001097728;0.001911808;0.001964032;0.00312832;0.0035235839999999997;0.001031168;0.000644096;0.008764416;0.027567104;0.03425792;0.03383603200000001;0.062820352;0.15509196800000002;0.18926591999999998;0.173171712;0.11808870400000002;0.086448128;0.06261657600000001;0.06573772800000001;0.08595251200000001;0.067820544;0.030091264;0.04906291199999999;0.050165760000000004;0.022189056000000002;0.017122304;0.020958208;0.016787456;0.019688448;0.02066432;0.017134592;0.009536512;0.011432959999999999;0.013945856;0.012866559999999999;0.015973376;0.013502464;0.010067968;0.006890496;0.005398528;0.005081088000000001;0.005108736000000001;0.0035235839999999997;0.0023111679999999997;0.0018882559999999998;0.00258048;0.002683904;0.00211456;0.002589696;0.0025497600000000003;0.00185856;0.001193984;0.002699264;0.001927168;0.0019660800000000003;0.001746944;0.001016832;0.0008519679999999999;0.001251328;0.001420288;0.0009482239999999999;0.000924672;0.00091136;0.000690176;0.00092672;0.000867328;0.000659456;0.000606208;0.000596992;0.000400384;0.00045056;0.000620544;0.000630784;0.000497664;0.000357376;0.000533504;0.0005724160000000001;0.000436224;0.000324608
